url_length,domain_length,tld,has_ip,num_special_chars,has_https,has_www,pct_ext_hyperlinks,pct_ext_resource_urls,ext_favicon,num_dots,subdomain_level,path_level,num_dash,num_dash_in_hostname,at_symbol,tilde_symbol,num_underscore,num_percent,num_query_components,num_ampersand,num_hash,num_numeric_chars,no_https,random_string,ip_address,domain_in_subdomains,domain_in_paths,https_in_hostname,hostname_length,path_length,query_length,double_slash_in_path,num_sensitive_words,embedded_brand_name,insecure_forms,relative_form_action,ext_form_action,abnormal_form_action
39,12,com,0,0,1,0,0.993103448275862,0.084045584045584,1.0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,12,19,0,0,0,0,0,0,1,0
63,13,net,0,1,1,0,0.0,0.0,0.0,2,1,4,0,0,0,0,1,0,0,0,0,17,0,0,0,1,0,0,13,42,0,0,0,0,0,0,0,0
25,16,com,0,0,1,1,0.979591836734694,0.015625,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,1,0,1,1,0
19,11,org,0,0,1,1,0.99601593625498,0.0189189189189189,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0
24,16,de,0,1,1,1,0.6666666666666666,0.35625,0.0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
26,17,com,0,0,1,0,0.996551724137931,0.0424028268551236,1.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,0
23,16,com,0,0,0,1,0.95,0.0118343195266272,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0
25,16,c0m,0,0,1,1,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0
38,16,com,0,3,1,1,0.0,0.0,0.0,2,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,16,1,12,0,0,0,0,0,0,0
20,13,com,0,0,0,1,0.8333333333333334,0.1694915254237288,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
32,24,com,0,0,1,1,0.9724770642201837,0.1060070671378091,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,0,0,0,0,0,0,0,0
68,13,com,0,0,1,1,0.0,0.0,0.0,2,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,13,47,0,0,0,0,0,0,0,0
31,14,,0,0,0,0,0.0,0.0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0
34,10,1,1,0,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,10,17,0,0,0,0,0,0,0,0
33,14,,0,0,0,0,0.0,0.0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0
