url_length,domain_length,tld,has_ip,num_special_chars,has_https,has_www
22,14,com,0,0,1,1
23,15,com,0,0,1,1
24,16,com,0,0,1,1
21,13,com,0,0,1,1
25,17,org,0,0,1,1
22,14,com,0,0,1,1
21,13,com,0,0,1,1
24,16,in,0,0,1,1
18,10,com,0,0,1,1
22,14,com,0,0,1,1
22,14,com,0,0,1,1
23,15,com,0,0,1,1
21,13,com,0,0,1,1
24,16,jp,0,0,1,1
18,10,com,0,0,1,1
20,12,com,0,0,1,1
25,17,com,0,0,1,1
20,12,com,0,0,1,1
23,15,cn,0,0,1,1
18,10,com,0,0,1,1
21,13,com,0,0,1,1
18,10,cn,0,0,1,1
21,13,de,0,0,1,1
24,16,uk,0,0,1,1
25,17,br,0,0,1,1
21,13,fr,0,0,1,1
21,13,ru,0,0,1,1
23,15,com,0,0,1,1
21,13,ru,0,0,1,1
26,18,com,0,0,1,1
24,16,com,0,0,1,1
21,13,tv,0,0,1,1
21,13,it,0,0,1,1
16,8,co,0,0,1,1
25,17,hk,0,0,1,1
23,15,com,0,0,1,1
21,13,es,0,0,1,1
22,14,com,0,0,1,1
23,15,com,0,0,1,1
23,15,jp,0,0,1,1
21,13,ca,0,0,1,1
20,12,com,0,0,1,1
25,17,mx,0,0,1,1
25,17,com,0,0,1,1
20,12,com,0,0,1,1
21,13,com,0,0,1,1
17,9,ru,0,0,1,1
25,17,com,0,0,1,1
20,12,com,0,0,1,1
26,18,com,0,0,1,1
21,13,com,0,0,1,1
22,14,com,0,0,1,1
19,11,ru,0,0,1,1
22,14,com,0,0,1,1
20,12,net,0,0,1,1
22,14,com,0,0,1,1
19,11,com,0,0,1,1
25,17,com,0,0,1,1
25,17,au,0,0,1,1
25,17,tr,0,0,1,1
31,23,com,0,0,1,1
24,16,com,0,0,1,1
22,14,com,0,0,1,1
25,17,tw,0,0,1,1
21,13,com,0,0,1,1
26,18,com,0,0,1,1
24,16,jp,0,0,1,1
24,16,com,0,0,1,1
21,13,pl,0,0,1,1
23,15,com,0,0,1,1
22,14,net,0,0,1,1
22,14,com,0,0,1,1
24,16,com,0,0,1,1
29,21,com,0,0,1,1
24,16,id,0,0,1,1
28,20,com,0,0,1,1
25,17,com,0,0,1,1
21,13,com,0,0,1,1
29,21,com,0,0,1,1
18,10,cn,0,0,1,1
21,13,de,0,0,1,1
20,12,com,0,0,1,1
25,17,ar,0,0,1,1
18,10,com,0,0,1,1
22,14,com,0,0,1,1
21,13,com,0,0,1,1
21,13,in,0,0,1,1
24,16,uk,0,0,1,1
24,16,net,0,0,1,1
